"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"5","秋田県","5201","秋田市","52010219003","寺内油田三丁目","39.732696","140.087632","0","3"
"5","秋田県","5201","秋田市","52010220000","寺内後城","39.73991","140.07349","0","1"
"5","秋田県","5201","秋田市","52010221000","寺内鵜ノ木","39.738438","140.082969","0","1"
"5","秋田県","5201","秋田市","52010222000","寺内大小路","39.737737","140.078403","0","1"
"5","秋田県","5201","秋田市","52010223000","寺内大畑","39.740602","140.080365","0","1"
"5","秋田県","5201","秋田市","52010224000","寺内神屋敷","39.733605","140.0813","0","1"
"5","秋田県","5201","秋田市","52010225000","寺内高野","39.741834","140.086658","0","1"
"5","秋田県","5201","秋田市","52010226001","寺内児桜一丁目","39.736136","140.084968","0","3"
"5","秋田県","5201","秋田市","52010226002","寺内児桜二丁目","39.737931","140.085402","0","3"
"5","秋田県","5201","秋田市","52010226003","寺内児桜三丁目","39.739837","140.089498","0","3"
"5","秋田県","5201","秋田市","52010227001","寺内堂ノ沢一丁目","39.734579","140.089941","0","3"
"5","秋田県","5201","秋田市","52010227002","寺内堂ノ沢二丁目","39.734373","140.086166","0","3"
"5","秋田県","5201","秋田市","52010227003","寺内堂ノ沢三丁目","39.736989","140.089605","0","3"
"5","秋田県","5201","秋田市","52010228001","寺内蛭根一丁目","39.72782","140.089722","0","3"
"5","秋田県","5201","秋田市","52010228002","寺内蛭根二丁目","39.729162","140.085939","0","3"
"5","秋田県","5201","秋田市","52010228003","寺内蛭根三丁目","39.72967","140.082381","0","3"
"5","秋田県","5201","秋田市","52010229000","寺内焼山","39.740899","140.07643","0","1"
"5","秋田県","5201","秋田市","52010230000","豊岩石田坂","39.666572","140.105074","0","1"
"5","秋田県","5201","秋田市","52010231000","豊岩小山","39.628715","140.122977","0","1"
"5","秋田県","5201","秋田市","52010232000","豊岩豊巻","39.647024","140.110169","0","1"
"5","秋田県","5201","秋田市","52010233001","中通一丁目","39.717321","140.120084","0","3"
"5","秋田県","5201","秋田市","52010233002","中通二丁目","39.71695","140.125633","0","3"
"5","秋田県","5201","秋田市","52010233003","中通三丁目","39.715525","140.119615","0","3"
"5","秋田県","5201","秋田市","52010233004","中通四丁目","39.71516","140.125178","0","3"
"5","秋田県","5201","秋田市","52010233005","中通五丁目","39.713287","140.119111","0","3"
"5","秋田県","5201","秋田市","52010233006","中通六丁目","39.713163","140.125038","0","3"
"5","秋田県","5201","秋田市","52010233007","中通七丁目","39.716787","140.129255","0","3"
"5","秋田県","5201","秋田市","52010234000","楢山","39.699269","140.140741","0","1"
"5","秋田県","5201","秋田市","52010235000","楢山愛宕下","39.702392","140.122845","0","1"
"5","秋田県","5201","秋田市","52010236000","楢山石塚町","39.699527","140.135683","0","1"
"5","秋田県","5201","秋田市","52010237000","楢山太田町","39.703778","140.132038","0","1"
"5","秋田県","5201","秋田市","52010238000","楢山大元町","39.706758","140.129082","0","1"
"5","秋田県","5201","秋田市","52010239000","楢山川口境","39.703556","140.111563","0","1"
"5","秋田県","5201","秋田市","52010240000","楢山共和町","39.70301","140.116457","0","1"
"5","秋田県","5201","秋田市","52010241000","楢山金照町","39.702895","140.128784","0","1"
"5","秋田県","5201","秋田市","52010242000","楢山佐竹町","39.706474","140.123337","0","1"
"5","秋田県","5201","秋田市","52010243000","楢山城南新町","39.697592","140.131999","0","1"
"5","秋田県","5201","秋田市","52010244000","楢山城南町","39.699889","140.128312","0","1"
"5","秋田県","5201","秋田市","52010245000","楢山登町","39.70743","140.113393","0","1"
"5","秋田県","5201","秋田市","52010246000","楢山古川新町","39.705038","140.123372","0","1"
"5","秋田県","5201","秋田市","52010247000","楢山本町","39.705602","140.119523","0","1"
"5","秋田県","5201","秋田市","52010248000","楢山南新町上丁","39.705353","140.121259","0","1"
"5","秋田県","5201","秋田市","52010249000","楢山南新町下丁","39.70311","140.119934","0","1"
"5","秋田県","5201","秋田市","52010250000","楢山南中町","39.706525","140.116758","0","1"
"5","秋田県","5201","秋田市","52010251000","仁井田","39.682333","140.142504","0","1"
"5","秋田県","5201","秋田市","52010252000","仁井田潟中町","39.687476","140.121353","0","1"
"5","秋田県","5201","秋田市","52010253000","仁井田小中島","39.682365","140.120962","0","1"
"5","秋田県","5201","秋田市","52010254000","仁井田栄町","39.686042","140.126029","0","1"
"5","秋田県","5201","秋田市","52010255001","仁井田新田一丁目","39.68219","140.123754","0","3"
"5","秋田県","5201","秋田市","52010255002","仁井田新田二丁目","39.679042","140.12405","0","3"
"5","秋田県","5201","秋田市","52010255003","仁井田新田三丁目","39.679745","140.12061","0","3"
"5","秋田県","5201","秋田市","52010256000","仁井田蕗見町","39.685979","140.123946","0","1"
"5","秋田県","5201","秋田市","52010257001","仁井田福島一丁目","39.69184","140.129353","0","3"
"5","秋田県","5201","秋田市","52010257002","仁井田福島二丁目","39.692074","140.132587","0","3"
"5","秋田県","5201","秋田市","52010258001","仁井田二ツ屋一丁目","39.691491","140.12335","0","3"
"5","秋田県","5201","秋田市","52010258002","仁井田二ツ屋二丁目","39.691714","140.125814","0","3"
"5","秋田県","5201","秋田市","52010259001","仁井田本町一丁目","39.682056","140.128994","0","3"
"5","秋田県","5201","秋田市","52010259002","仁井田本町二丁目","39.680764","140.134868","0","3"
"5","秋田県","5201","秋田市","52010259003","仁井田本町三丁目","39.678074","140.13233","0","3"
"5","秋田県","5201","秋田市","52010259004","仁井田本町四丁目","39.678806","140.128401","0","3"
"5","秋田県","5201","秋田市","52010259005","仁井田本町五丁目","39.673453","140.125649","0","3"
"5","秋田県","5201","秋田市","52010259006","仁井田本町六丁目","39.672782","140.126948","0","3"
"5","秋田県","5201","秋田市","52010260000","仁井田緑町","39.690867","140.121197","0","1"
"5","秋田県","5201","秋田市","52010261001","仁井田目長田一丁目","39.67826","140.137017","0","3"
"5","秋田県","5201","秋田市","52010261002","仁井田目長田二丁目","39.678631","140.141572","0","3"
"5","秋田県","5201","秋田市","52010261003","仁井田目長田三丁目","39.677044","140.139731","0","3"
"5","秋田県","5201","秋田市","52010262000","濁川","39.756985","140.129221","0","1"
"5","秋田県","5201","秋田市","52010263000","仁別","39.813829","140.255303","0","1"
"5","秋田県","5201","秋田市","52010264000","浜田","39.66658","140.077344","0","1"
"5","秋田県","5201","秋田市","52010265001","茨島一丁目","39.703848","140.102275","0","3"
"5","秋田県","5201","秋田市","52010265002","茨島二丁目","39.700324","140.104058","0","3"
"5","秋田県","5201","秋田市","52010265003","茨島三丁目","39.699774","140.097316","0","3"
"5","秋田県","5201","秋田市","52010265004","茨島四丁目","39.696752","140.101111","0","3"
"5","秋田県","5201","秋田市","52010265005","茨島五丁目","39.694277","140.092271","0","3"
"5","秋田県","5201","秋田市","52010265006","茨島六丁目","39.692454","140.098757","0","3"
